smiles,Ames,LD50_Zhu,hERG_Karim,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,SR-ARE,SR-HSE,SR-MMP,SR-p53
CNCCc1sc2ccccc2c1C(C)c1ccccn1,,,1.0,,,,,,,,
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,,0.0,,,,,,0.0,0.0,,
COC(=O)C1=CCC23CCC(C(C)(C=CC=C(C)C(=O)O)OC2=O)C3(OC(C)=O)CC1,,1.0,,,,,,,,,
CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,,1.0,,,,,,,,,
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1,,0.0,,,,,,,,,
Cc1cc2c(c3ccc4ccccc4c13)CCC2=O,1.0,,,,,,,,,,
NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0
Cc1ccc(N)cc1C,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CCc1ccc2c(N3CC(NC)C3)nc(N)nc2c1,,,1.0,,,,,,,,
CSc1nc(NC(C)C)nc(NC(C)C)n1,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1cc(OC)c(/C=C/S(=O)(=O)Cc2cnc(OC)c(N)c2)c(OC)c1,,,0.0,,,,,,,,
COc1ccccc1-c1nnc(CCCCN2CC3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,,,1.0,,,,,,,,
CC(Cl)C(C)Cl,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,0.0,1.0,,,,,,,0.0,,
CCOC(=O)Nc1cccc2c3c[nH]ccc-3nc12,0.0,,,,,,,,,,
CCCOC(=O)c1ccccc1C(=O)OCCC,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(C)C(=O)[C@@H](c1ccc(-c2ccn3nccc3n2)cc1)[C@H]([NH3+])C(=O)N1CCC(F)(F)C1,,,0.0,,,,,,,,
COc1c(F)c(F)c2[nH]c(C(F)(F)F)nc2c1F,,1.0,,,,,,,,,
Clc1ccc(Cl)nc1,0.0,,,,,,,,,,
CC(C)OP(=S)(CCl)Sc1ccc(F)cc1,,1.0,,,,,,,,,
C#CCN1CCC2=C(C1)c1c(O)cc(C(C)C(C)CCCCC)cc1OC2(C)C,,1.0,,,,,,,,,
CCCC(=O)C(C)C,,0.0,,,,,,,,,
CCCCCCOC(=O)c1ccccc1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)c1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,,,0.0,,,,,,,,
NCCCCCCNCCCCCCN,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(OCc1ccccc1)c1sc(Cl)nc1C(F)(F)F,,0.0,,,,,,,,,
COc1ccc(C2CC(c3ccccc3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1,,,0.0,,,,,,,,
CC(=O)CC(=O)/C=C/C(=O)O,0.0,,,,,,,,,,
CCCC(c1ccc(CCCl)cc1)c1c(O)c2ccccc2oc1=O,,1.0,,,,,,,,,
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cnc(-c2cnc(Nc3cnc(C#N)cn3)cc2NC[C@H]2CNCCO2)s1,,,0.0,,,,,,,,
Cc1cccc(Oc2ccccc2)c1,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)(C)c1cc(N2Nc3ccccc3N2)c(O)c(C(C)(C)CC)c1,0.0,,,,,,,,,,
CCC1(CC)C(=O)NCC(C)C1=O,,0.0,,,,,,,,,
COc1ccc(CN2CCC(C#N)(CNC(=O)c3cc(OC)cc(OC)c3)CC2)cc1,,,1.0,,,,,,,,
Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CSP(=O)(SC)SC,,1.0,,,,,,,,,
CCCCCCCC(=O)Nc1snc2ccccc12,0.0,,,,,,,,,,
Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1,,,0.0,,,,,,,,
N#Cc1ccc(CCN2CCN(CCc3ccc4c(c3)COC4=O)CC2)cc1F,,,1.0,,,,,,,,
c1ccc2[nH]nnc2c1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CN(C)CCOC(c1ccccc1)c1ccccc1,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1cccc(-n2cc3nc(-c4cccnc4C)n(C[C@H]4CCCN(C(C)C)C4)c(=O)c3n2)c1,,,0.0,,,,,,,,
O=C1c2cc(-c3ccc(OC(F)(F)F)cc3)ccc2OCCN1Cc1ncccn1,,,1.0,,,,,,,,
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3cccs3)CC2)C1,,,0.0,,,,,,,,
NC1CN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)CC1c1cc(F)ccc1F,,,1.0,,,,,,,,
CC(C)=CCC/C(C)=C/COC=O,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,0.0,,,,,,,,,,
NS(=O)(=O)C1CCCCC1,,1.0,,,,,,,,,
C1=CC2OC2c2cccnc21,0.0,,,,,,,,,,
O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(CC2CCCNC2)CC1,,,1.0,,,,,,,,
O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,,,0.0,,,,,,,,
NC1CN(c2ccc3nc(C(F)(F)F)nn3n2)CCC1c1cc(F)c(F)cc1F,,,1.0,,,,,,,,
Cc1nc(C)c(-c2nnc(SCCCN3CCC4(CCc5ccc(Cl)cc54)C3)n2C)s1,,,1.0,,,,,,,,
Cc1cccc(-c2ccc(C#Cc3cccc(C#Cc4ccc(-c5cccc(C)c5)cc4)[n+]3C)cc2)c1,,,1.0,,,,,,,,
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],,,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
CNCc1cc(F)c(OC)cc1Oc1ccc(Cl)c(Cl)c1,,,1.0,,,,,,,,
N#Cc1ccc(Cn2cncc2C[NH2+][C@@H]2CCN(C(=O)c3cncc(Br)c3)C2=O)cc1,,,1.0,,,,,,,,
O=C1OC2(CCNCC2C(=O)N(Cc2cccc(C(F)(F)F)c2Cl)C2CC2)c2cc(F)c(F)cc21,,,0.0,,,,,,,,
CNCc1cc(C(=O)NC)ccc1Oc1ccc(Cl)cc1OC,,,1.0,,,,,,,,
CCOC(C1=NCC(C)CN1)c1ccc(Cl)cc1,,1.0,,,,,,,,,
Cc1cccc(C#N)c1C,,0.0,,,,,,,,,
CN(C)[C@H]1CC[C@H](c2ccc(OCCCN3CCCCC3)cc2)CC1,,,1.0,,,,,,,,
CNC(=S)NN,,1.0,,,,,0.0,0.0,1.0,0.0,0.0
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,,,,,0.0,0.0,0.0,,,,0.0
Fc1ccc2c(C3CCN(CCCOc4ccc(CCc5nc6ccccc6o5)cc4)CC3)noc2c1,,,1.0,,,,,,,,
C=COCCOC(=O)C(=C)C,,0.0,,,,,,,,,
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nccc2cc(S(=O)(=O)Nc3ccon3)ccc12,,,0.0,,,,,,,,
COC(=O)NCCC[Si](OC)(OC)OC,,,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,,,,0.0,,0.0,0.0,0.0,0.0,,0.0
[CH3][Sn]([Cl])([Cl])[Cl],,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP(=S)(OC)SCn1nc(-c2ccccc2)ccc1=O,,0.0,,,,,,,,,
COc1ccc([N+](=O)[O-])cc1,1.0,0.0,,,,,,,,,
C[C@@H]1Cn2ncc(C3CCN(S(C)(=O)=O)CC3)c2CN1c1ccnc2[nH]ccc12,,,0.0,,,,,,,,
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Cc1ccc(-n2nccn2)c(C(=O)N2C[C@@]3(F)CN(c4nc5ccccc5o4)C[C@@]3(F)C2)c1,,,0.0,,,,,,,,
CCCCCCC=NO,,0.0,,,,,,,,,
CC=C(Cl)Cl,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CCN(CC)CCOc1ccnc(N)n1,,0.0,,,,,,,,,
CC(COc1ccccc1)NN,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNCc1cc(OC)c(OC)cc1Oc1ccc(Cl)c(Cl)c1,,,0.0,,,,,,,,
CNc1nccc(N2CCC3(CCN(C[C@H](O)c4ccc5c(c4C)COC5=O)CC3)C2=O)n1,,,1.0,,,,,,,,
CN1CCN(C)C1=O,,0.0,,,,,,,,,
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCN1CC(C)CN=C1C(OCC)c1ccccc1,,1.0,,,,,,,,,
Nc1nc(CNC(=O)c2ccc(C[C@@H]3CC[C@H]([C@H](O)c4ccccc4)N3)cc2)cs1,,,0.0,,,,,,,,
c1ccc2c(c1)CCC1CCCC3OC213,0.0,,,,,,,,,,
Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6c(cc5CC4)C(=O)N(C)C6)n3C)cccc2n1,,,0.0,,,,,,,,
O=c1oc(-c2ccccc2)nc2ccccc12,,0.0,,,,,,,,,
NCC1CC2CCC1C2,,0.0,,,,,,,,,
Fc1ccc(C(OC2CC3CCC(C2)N3CC2CC2)c2ccc(F)cc2)cc1,,,1.0,,,,,,,,
O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,,,,,,,,0.0,0.0,,
CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
NC1(C(=O)NC(c2ccccc2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,,,1.0,,,,,,,,
N#Cc1ccc(Cl)cc1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(C)c(C)cc1C,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2cc3c4c(ccc3c3c2c1CC3)C(O)C(O)C=C4,1.0,,,,,,,,,,
Nc1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,1.0,,,,,,,,,,
CCCC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,,,1.0,,,,,,,,
CCCCCCCCCCCC(=O)N(CC)CC,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCC(CC=CCCCCCCCC(=O)OCCOC)OC(C)=O,,0.0,,,,,,,,,
C=CC(C)=CCC=C(C)C,,,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0
Oc1ccc(CC[N+]2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,,,1.0,,,,,,,,
CNC(=O)OC1CC(C)CCC1C(C)C,,1.0,,,,,,,,,
C=C(F)C(=O)OCC(F)(F)C(F)F,,1.0,,,,,,,,,
CCN(CC)C(=O)N(CC)CC,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
CCNC(=O)Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc34)CC2)c1,,,1.0,,,,,,,,
O=C1C=CC(=O)N1c1ccc(Cl)cc1,,1.0,,,,,,,,,
Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,,0.0,,,,,,,,,
O=C(O)C(Br)Br,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CN(C)c1ccc(N=NS(=O)(=O)[O-])cc1,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(N5CCN(C)CC5)nc34)CC2)no1,,,1.0,,,,,,,,
O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CCN2CCOCC2)c1,,,0.0,,,,,,,,
CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,,1.0,,,,,,,,,
CCNC(=O)Nc1cccc(CNc2cc(C(F)(F)F)cc3ncc(N4CCN(C)CC4)cc23)c1,,,0.0,,,,,,,,
CC(=O)NCCc1ccccc1-c1onc([C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)c1C(C)O,,,0.0,,,,,,,,
CC1(C)C2CC3OC3(C)C1C2,0.0,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3ncccn3)CC2)CN1)N1CC(F)C1,,,0.0,,,,,,,,
CN1C2=CC(=O)C(=NNC(N)=O)C=C2CC1S(=O)(=O)[O-],,,,0.0,0.0,0.0,0.0,,,0.0,0.0
CCCOC(=O)c1cc(Cc2ccc(N)c(C(=O)OCCC)c2)ccc1N,0.0,,,,,,,,,,
CCC1NC(=O)C2C(Cl)C(Cl)CN2C(=O)C(CO)NC(=O)CC(c2ccccc2)NC(=O)C(CO)NC1=O,,1.0,,,,,,,,,
Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,,,,1.0,1.0,0.0,0.0,,1.0,0.0,
CC(C)Oc1ccc(NC(=O)c2cc(N(C)Cc3ccc(F)cc3)ncn2)cc1,,,1.0,,,,,,,,
COc1ccc(/C=C/c2ccc(N)cc2)cc1,1.0,,,,,,,,,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(C)nc6c5CC4)n3C)cccc2n1,,,1.0,,,,,,,,
COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C,,,1.0,,,,,,,,
ClCC1C(CCl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0.0,1.0,,,,,,,,,
O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccccc3C(F)(F)F)no2)CC1,,,1.0,,,,,,,,
CC1=C(Br)C(=O)C(Br)=C/C1=C(\c1ccccc1S(=O)(=O)[O-])c1cc(Br)c(O)c(Br)c1C,,,,,,,0.0,0.0,0.0,,0.0
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,,,0.0,,,,,,,,
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCN(C)C)c1,,,1.0,,,,,,,,
CSc1nnc(C(C)(C)C)c(=O)n1N,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C1C(I)=CC(=C(c2cc(I)c(O)c(I)c2)c2ccccc2C(=O)O)C=C1I,,,,0.0,0.0,0.0,0.0,,,1.0,
CN(C)CCC1=C(Cc2cnccn2)c2ccc(F)cc2C1,,,1.0,,,,,,,,
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C=CC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Nc1ncc(-c2ccc(C(=O)N3CCOCC3)cc2)cc1-c1ccc(C(F)(F)F)nc1,,,0.0,,,,,,,,
CCCCCCCCCCCCCCCCCCN,0.0,0.0,,,,,,,,,
C=CCOCC=C,,0.0,,,,,,,,,
CC(C)(O)c1ccc(C#Cc2cccc(-n3cc(C(=O)NC4CC4)c(=O)c4cccnc43)c2)c[n+]1[O-],,,0.0,,,,,,,,
CCc1ccccc1Nc1ccc(Nc2ccccc2CC)c2c1C(=O)c1c(O)ccc(O)c1C2=O,1.0,,,,,,,,,,
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@]2(O)c2ccccc2)C2CC2)cc(OCCOC)c1,,,1.0,,,,,,,,
CCC(=O)O[C@H]1[C@@H](N2CCCCC2)C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@@H](N5CCCCC5)C[C@]4(C)[C@H]3CC[C@@]21C,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
CC=CC=CCOCCO,,0.0,,,,,,,,,
OC1c2ccc3nc4ccc5ccccc5c4cc3c2C2OC2C1O,1.0,,,,,,,,,,
CCC(=O)N(c1ccc(Cl)c(Cl)c1)C1CCCC1N(C)C,0.0,,,,,,,,,,
COCCN(C)C(c1ccccc1)C(O)(c1cccnc1)c1cccnc1,,,1.0,,,,,,,,
CN(C)c1ccc(SC#N)cc1,,1.0,,,,1.0,0.0,0.0,1.0,,
CC1(C)CC(N)CC(C)(C)N1O,1.0,,,,,,,,,,
CCOC(=O)c1ccccc1,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
C=CC1CCC2OC2C1,,0.0,,,,,,,,,
O=C1CCC(=O)N1CO,,,,,0.0,0.0,0.0,,,,0.0
COc1c(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc2c1CCC[C@@H](N1CCN(C)CC1)C2,,,1.0,,,,,,,,
C[C@@H]1CN(CCC2CCc3c2cnn3-c2ccccc2)C[C@H](C)O1,,,1.0,,,,,,,,
CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,1.0,,,,,,,,
O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CC(N2CCC(C(F)(F)F)CC2)C1,,,1.0,,,,,,,,
Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)n[nH]1,,,0.0,,,,,,,,
c1cnc2cc3c(cc2n1)C1CNCC3C1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=c1[nH]ccc2c(S(=O)(=O)N3CCCNCC3)cccc12,,,1.0,,,,,,,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C(F)(F)C(F)(F)F)oc6cc5CC4)n3C)cccc2n1,,,1.0,,,,,,,,
CC(C)(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)(C)C,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](CN1CC[C@H](N3C(=O)Cc4ccccc43)C1)C2,,,1.0,,,,,,,,
c1ccc2c(OCCN3CCCC3)ccnc2c1,,1.0,,,,,,,,,
CC(=O)Nc1snc2ccccc12,1.0,,,,,,,,,,
Clc1nccc2c3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n(C3CCCC3)c12,,,1.0,,,,,,,,
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2ccccc2)cc1,,,0.0,,,,,,,,
c1ccc2c(c1)Oc1ccccc1S2,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
N#Cc1ccc(OCCCN2CC3CN(CCNS(=O)(=O)c4ccccc4)CC(C2)O3)cc1,,,0.0,,,,,,,,
Cc1nc2ccccc2n1C1C[C@H]2CC[C@H](C1)N2CCC1(c2ccccc2)CCN(C(=O)c2ccccc2)CC1,,,1.0,,,,,,,,
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)cc3)n2)cc1,,,1.0,,,,,,,,
COc1nsc2c(N)cccc12,1.0,,,,,,,,,,
COc1ccccc1CC(c1ccccc1)N1CCNCC1,,,0.0,,,,,,,,
CC(C)C(Br)C(=O)OC(C)C(Cl)(Cl)Cl,,0.0,,,,,,,,,
COc1ccc(Cn2c(=O)n3ncnc3c3c4c(sc32)CN(CC2CCOCC2)CC4)cc1,,,1.0,,,,,,,,
CCc1c2ccccc2cc2ccc3ccccc3c12,0.0,,,,,,,,,,
Fc1ccc(-c2cnn(Cc3cc[nH]n3)c2)cc1OC(F)F,,,0.0,,,,,,,,
Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(CNC(=O)c1ccccc1)c1ccccc1,,,0.0,,,,,,,,
Cc1ccc(NCC2(O)OCC(O)C(O)C2O)cc1,0.0,,,,,,,,,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6c(cc5CC4)OCC(=O)N6)n3C)cccc2n1,,,1.0,,,,,,,,
O=C(COc1c(C(=O)NCc2ccccc2)ccc2ccccc12)Nc1ccccc1N1CCCC1=O,,,0.0,,,,,,,,
CCCCC(=O)[O-],,,,0.0,0.0,0.0,0.0,,,0.0,0.0
COC1COCCC1N(C)[C@@H]1C[C@H]2OCC[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,,,0.0,,,,,,,,
Oc1cnnc(O)n1,1.0,,,,,,,,,,
CCN(CC)C(=O)c1cccc(C)c1,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
C=CC(=O)OCCOC(=O)C=C,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,,0.0,
CCCCCCCCNC,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ncc(-c2c(C)c(CNC3CCCC3)nn2-c2ncccc2Cl)cc1F,,,0.0,,,,,,,,
NC(=O)N(CC(=O)O)N=O,0.0,,,,,,,,,,
CCCCCCCc1ccc(O)cc1O,,0.0,,,,,,,,,
Cc1cc(C)c(Cc2cc(C)c(C)cc2C)cc1C,,0.0,,,,,,,,,
COc1cc2c(c(OC)c1CO)C(=O)c1ccccc1C2=O,0.0,,,,,,,,,,
NC(CSC(Cl)=CCl)C(=O)O,1.0,,,,,,,,,,
COCCCc1cc(CN(C(=O)C2CNCCC2c2ccccc2)C2CC2)cc(OCCOC)c1,,,1.0,,,,,,,,
O=C1OC2(c3ccc([O-])cc3Oc3cc([O-])ccc32)c2ccccc21,,,,0.0,0.0,0.0,0.0,,,,
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,,,0.0,0.0,1.0,,,0.0,,1.0,0.0
