smiles,Ames,LD50_Zhu,hERG_Karim,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,SR-ARE,SR-HSE,SR-MMP,SR-p53,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,TC_TOX21_Aromatase_Inhibition,TC_TOX21_AhR_LUC_Agonist,TC_ATG_Ahr_CIS_up,TC_ATG_Ahr_CIS_dn
Br.CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,,,,,,,,,,,,,,,0.0,0.0,,
Br.CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Br.CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.O.O.O,,,,,,,,,,,,,,,0.0,0.0,,
Br.COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,,,,,,,,,,,,0.0,,0.0,,,,
Br.COCC(C)NCc1cccc(C)c1,,,,,,,,,,,,0.0,,0.0,,,,
Br.COCCCN1Cc2ccccc2C1=N,,,,,,,,,,,,,1.0,0.0,,,,
Br.COc1c2c(cc3c1OCO3)CCN(C)C2,,,,,,,,,,,,,,,0.0,0.0,,
Br.COc1cc(CC(C)N)c(OC)cc1Br,,,,,,,,,,,,,,,0.0,0.0,,
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,,,,,,,,,,,,,0.0,0.0,,,,
Br.COc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C)CC3.O,,,,,,,,,,,,,,,0.0,0.0,,
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,,,,,,,,,,,,0.0,1.0,0.0,,,,
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,,,,,,,,,,,,1.0,1.0,1.0,,,,
Br.C[C@@H]1[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2CCc1ccccc1,,,,,,,,,,,,,,,1.0,1.0,,
Br.C[C@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CCc1ccccc1,,,,,,,,,,,,,,,0.0,0.0,,
Br.C[N+](C)(C)CCCCCNCC12CC3CC(CC(C3)C1)C2.[Br-],,,,,,,,,,,,0.0,0.0,0.0,,,,
Br.C[N+]1([O-])[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,,,,,,,,,,,,,,,0.0,0.0,,
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,,,,,,,,,,,,0.0,1.0,,,,,
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,,,,,,,,,,,,1.0,,0.0,,,,
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(Cl)cc1,,,,,,,,,,,,0.0,1.0,0.0,,,,
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(F)cc1,,,,,,,,,,,,,1.0,0.0,,,,
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,,,,,,,,,,,,1.0,1.0,0.0,,,,
Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,,,,,,,,,,,,,,,0.0,0.0,,
Br.NCCC1([N+](=O)[O-])CCNCC1,,,,,,,,,,,,0.0,0.0,0.0,,,,
Br.Nc1nc(-c2ccccc2)cs1.O,,,,,,,,,,,,,,,0.0,1.0,,
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,,,,,,,,,,,,0.0,,,,,,
Br/C=C/Br,1.0,,,,,,,,,,,,,,,,,
BrC(Br)(Br)c1ccc2ccccc2n1,,0.0,,,,,,,,,,,,,,,,
BrC(Br)Br,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
BrC(Br)C(Br)(Br)Br,0.0,,,,,0.0,0.0,,,0.0,1.0,,,,1.0,0.0,,
BrC(Br)C(Br)Br,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
BrC(c1cccc2ccccc12)c1cccc2ccccc12,,,,,,,,,,,,1.0,0.0,0.0,,,,
BrC/C=C/CBr,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,
BrC/C=C\CBr,1.0,,,,,,,,,,,,,,,,,
BrC12CC3CC(CC(C3)C1)C2,,0.0,,,,,,,,,,,,,,,,
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,,,,0.0,,,0.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0
BrC=CBr,,1.0,,,,,,,,,,,,,,,,
BrC=Cc1ccccc1,,0.0,,,,,,,,,,,,,,,,
BrCBr,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
BrCC(Br)(Br)Br,1.0,,,0.0,,0.0,0.0,,1.0,,1.0,,,,0.0,0.0,,
BrCC(Br)C1CCC(Br)C(Br)C1,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,,0.0,0.0,,
BrCC(Br)CBr,1.0,,,,,,,,,,,,,,,,,
BrCC(Br)c1ccccc1,1.0,,,,,,,,,,,,,,,,0.0,0.0
BrCC1CO1,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,
BrCC=CCBr,,1.0,,,,,,,,,,,,,,,,
BrCCBr,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
BrCCC(Br)Br,1.0,,,,,,,,,,,,,,,,,
BrCCCBr,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
BrCCCCBr,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
BrCCCCCBr,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
BrCCCCCCBr,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,
BrCCOc1ccccc1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
BrCCc1ccccc1,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,1.0,,
BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1,0.0,,,,,,,,,,,,,,,,,
BrC[C@H]1CO1,1.0,,,,,,,,,,,,,,,,,
BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,1.0,,,,,,,,,,,,,,,,,
BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,1.0,,,,,,,,,,,,,,,,,
BrCc1c2ccccc2cc2c1ccc1ccccc12,1.0,,,,,,,,,,,,,,,,,
BrCc1c2ccccc2cc2ccc3ccccc3c12,1.0,,,,,,,,,,,,,,,,,
BrCc1c2ccccc2cc2ccccc12,1.0,,,,,,,,,,,,,,,,,
BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,1.0,,,,,,,,,,,,,,,,,
BrCc1ccc(Br)cc1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0
BrCc1ccc(CBr)cc1,0.0,,,,,,,,,,,,,,,,,
BrCc1ccc2c(c1)-c1cccc3cccc-2c13,1.0,,,,,,,,,,,,,,,,,
BrCc1ccc2c3c(cccc13)-c1ccccc1-2,1.0,,,,,,,,,,,,,,,,,
BrCc1ccc2cccc3c2c1-c1ccccc1-3,1.0,,,,,,,,,,,,,,,,,
BrCc1cccc(CBr)c1,0.0,,,,,,,,,,,,,,,,,
BrCc1cccc(Oc2ccccc2)c1,,0.0,,0.0,0.0,1.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0
BrCc1cccc2c1-c1cccc3cccc-2c13,1.0,,,,,,,,,,,,,,,,,
BrCc1ccccc1,1.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
BrCc1ccccc1CBr,0.0,,,,,,,,,,,,,,,,,
Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,0.0,,,,,,,,,,,,,,,,,
Brc1[nH]nc2ccccc12,,,,,,,,,,,,,0.0,0.0,,,,
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,,,,,,,,,,,,,,,,0.0,0.0
Brc1c(NC2=NCCN2)ccc2nccnc12,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
Brc1c2ccccc2c(Br)c2ccccc12,,,,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,0.0,0.0,,
Brc1c2ccccc2cc2c1ccc1ccccc12,1.0,,,,,,,,,,,,,,,,,
Brc1c2ccccc2cc2ccccc12,,,,0.0,,1.0,,,,,1.0,,,,0.0,0.0,,
Brc1c[nH]cn1,,1.0,,,,,,,,,,,,,,,,
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br,,,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,0.0,,,,,,,,,,,,,,,,,
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,0.0,,,,,,,,,,,,,,,,,
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,
Brc1cc(Br)cc(Br)c1,,,,,,,,,,,,,,,,,0.0,0.0
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2,,,,,,,,,,,,1.0,,1.0,,,,
Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,,1.0,,,,,,,,,,,,,,,,
Brc1cc2ccccc2c2ccccc12,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,,
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,,0.0,,,,,,,,,,,,,,,,
Brc1ccc(-c2ccccc2)cc1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
Brc1ccc(-c2csc(N3CCC(c4ccccc4)C3)n2)cc1,,,,,,,,,,,,1.0,0.0,0.0,,,,
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1,,,,,,,,,,,,,1.0,0.0,,,,
Brc1ccc(-c2nnc(-c3cccc(Br)c3)o2)cc1,,,,,,,,,,,,0.0,0.0,0.0,,,,
Brc1ccc(-c2nnc(-c3ccccc3)c(N3CCSCC3)n2)cc1,,,,,,,,,,,,1.0,0.0,0.0,,,,
Brc1ccc(/C=C/C=N/Nc2nc3ccccc3s2)cc1,,,,,,,,,,,,,0.0,0.0,,,,
Brc1ccc(Br)c(Br)c1,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,1.0
Brc1ccc(Br)cc1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
Brc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1,1.0,,,,,,,,,,,,,,,,,
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,,,,,,,,,,,,1.0,1.0,1.0,,,,
Brc1ccc(N=C/C=C/C=C/Nc2ccc(Br)cc2)cc1.Cl,,,,,,,,,,,,,1.0,0.0,,,,
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,
Brc1ccc(Oc2ccc(Br)cc2)cc1,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,
Brc1ccc(Oc2ccccc2)cc1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0
Brc1ccc([C@H]2CN3CCSC3=N2)cc1,,,,,,,,,,,,0.0,0.0,,,,,
Brc1ccc2[nH]c3c(c2c1)CCCC3Nc1ccccc1,,,0.0,,,,,,,,,,,,,,,
Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,,1.0,,,,,,,,,,,,,,,,
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,,,1.0,,,,,,,,,,,,,,,
Brc1ccc2c(c1)C1OC1C1CCCCC21,0.0,,,,,,,,,,,,,,,,,
Brc1ccc2c(c1)C=CC1CCCCC21,0.0,,,,,,,,,,,,,,,,,
Brc1ccc2cccnc2c1,,,,,,,,,,,,,0.0,0.0,,,,
Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,,,,,,,,,,,,1.0,1.0,0.0,,,,
Brc1cccc(-c2ccccc2)c1,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,
Brc1cccc2cc3c(ccc4ccccc43)cc12,1.0,,,,,,,,,,,,,,,,,
Brc1cccc2nc(C#Cc3ccccn3)ccc12,,,0.0,,,,,,,,,,,,,,,
Brc1ccccc1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
Brc1ccccc1-c1ccccc1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,
Brc1ccccc1OCCOCCOc1cccc2cccnc12,,,,,,,,,,,,,0.0,,,,,
Brc1ccccn1,,,,,,,,,,,,,,,,,0.0,0.0
Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1,,,1.0,,,,,,,,,,,,,,,
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,,,0.0,,,,,,,,,,,,,,,
Brc1nc(Br)c(Br)[nH]1,,1.0,,,,,,,,,,,,,,,,
Brc1nc2ccccc2s1,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,0.0
C#CC(=O)C=CC,,1.0,,,,,,,,,,,,,,,,
C#CC(=O)O,,1.0,,,,,,,,,,,,,,,,
C#CC(C)(C)N,,0.0,,,,,,,,,,,,,,,,
C#CC(C)(C)NC(=O)C=Cc1cc(OC)c(OC)c(OC)c1,,1.0,,,,,,,,,,,,,,,,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
C#CC(C)(C)O,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,,,,,,,,0.0,0.0,,,,,,,,,
C#CC(C)(CCC=C(C)C)OC(C)=O,,0.0,,,,,,,,,,,,,,,,
C#CC(C)(O)C(O)c1ccccc1,,0.0,,,,,,,,,,,,,,,,
C#CC(C)(O)CC,,1.0,,,,,,,,,,,,,0.0,0.0,,
C#CC(C)(O)CC(C)C,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
C#CC(C)N(C(=O)CCl)c1ccccc1,,0.0,,,,,,,,,,,,,,,,
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,,
C#CC(C)OC(=O)Nc1cccc(Cl)c1,,0.0,,,,,,,,,,,,,,,,
C#CC(O)(/C=C\Cl)CC,,,,,,,,0.0,0.0,,,,,,,,,
C#CC(O)C(CC)CCCC,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
C#CC(O)C=CC,,1.0,,,,,,,,,,,,,,,,
C#CC(O)CCC,,1.0,,,,,,,,,,,,,,,0.0,0.0
C#CC(O)CCCCC,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)C(C)=CCC,,0.0,,,,,,,,,,,,,,,,
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccc(C)c(C)c1,1.0,,,,,,,,,,,,,,,,,
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,1.0,,,,,,,,,,,,,,,,,
C#CC1(O)CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1,,,0.0,,,,,,,,,,,,,,,
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,0.0,,,,,,,,,,,,,,,,,
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,0.0,,,,,,,,,,,,,,,,,
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,,,0.0,,,,,,,,,,,,,,,
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0.0,,,,,,,,,,,,,,,,,
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0.0,0.0,,,,,,,,,,,,,,,,
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0.0,0.0,,,,,,,,,,,,,,,,
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,0.0,,,,,,,,,,,,,,,,,
C#CC1(O)CCCCC1,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,0.0
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0.0,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,0.0,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0.0,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCCCC1C(C)CC,,1.0,,,,,,,,,,,,,,,,
C#CC1(OC(N)=O)CCCCC1,,1.0,,,,,,,,,,,,,,,,
C#CC1=C(C#C)C(=O)C(Cl)=C(Cl)C1=O,,,,,,,,,,,,,,,,,0.0,0.0
C#CCBr,1.0,1.0,,,,,,,,,,,,,,,,
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,,,,,0.0,0.0,0.0,,,0.0,1.0,,,,0.0,0.0,,
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,,1.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0
C#CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,,,,0.0,,,0.0,,,,0.0,,,,,,,
C#CCCC#CC#CCCCCO,,1.0,,,,,,,,,,,,,,,,
C#CCCCC#C,,0.0,,,,,,,,,,,,,,,,
C#CCCCC(=O)Nc1ccccc1,,,,,,,,,,,,0.0,1.0,,,,,
C#CCCCCCCCCCCCCCCCC(=O)O,,,,,,,,,,,,1.0,,0.0,,,,
C#CCCCCCCCCCNC(=O)Oc1cccc(-n2ccc(C(N)=O)c2)c1,,,0.0,,,,,,,,,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,0.0,1.0,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,0.0,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,0.0,0.0,1.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,0.0,0.0,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CC)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,0.0,0.0,0.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CC)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,0.0,0.0,0.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,0.0,0.0,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,0.0,0.0,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,0.0,0.0,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,0.0,0.0,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,0.0,,1.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,0.0,0.0,1.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,0.0,0.0,0.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,0.0,0.0,1.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,0.0,0.0,1.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,0.0,0.0,1.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,0.0,1.0,1.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,1.0,,1.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@@H]12,,,,,,,,,,,,0.0,0.0,1.0,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@H]12,,,,,,,,,,,,,0.0,1.0,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(-c3ccccc3)c(=O)n12,,,,,,,,,,,,0.0,,0.0,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(C)c(=O)n12,,,,,,,,,,,,0.0,,0.0,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(Cc3cc4c(cc3Cl)OCO4)c(=O)n12,,,,,,,,,,,,,0.0,0.0,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n([C@@H](CC)c3ccccc3)c(=O)n12,,,,,,,,,,,,0.0,0.0,,,,,
